,serial,telecode,name,name_abbr,name_pinyin
0,82,AHX,阿里河,alh,alihe
1,84,APT,安平,api,anping
2,113,CDG,茶陵,cli,chaling
3,160,FJQ,凤凰机场,fhc,fenghuangjichang
4,246,JKP,蓟州北,jzb,jizhoubei
5,371,OAH,宿松,sso,susong
6,428,WPB,乌伊岭,wyl,wuyiling
7,472,TWQ,亚龙湾,ylw,yalongwan
8,480,YQB,玉泉,yqu,yuquan
9,495,YUQ,崖州,yzh,yazhou
10,524,ADP,安定,adi,anding
11,538,ASX,阿龙山,als,alongshan
12,569,BLQ,碧江,bji,bijiang
13,573,BKD,保康,bka,baokang
14,577,BOR,博乐,ble,bole
15,583,BND,宝龙山,bls,baolongshan
16,594,BSY,白水江,bsj,baishuijiang
17,597,BUM,白水镇,bsz,baishuizhen
18,608,BAC,巴彦高勒,byl,bayangaole
19,631,CHZ,册亨,che,ceheng
20,632,CKT,草河口,chk,caohekou
21,671,CYL,朝阳川,cyc,chaoyangchuan
22,672,CDD,朝阳地,cyd,chaoyangdi
23,712,DQD,大红旗,dhq,dahongqi
24,729,DMD,东明村,dmc,dongmingcun
25,740,DQB,对青山,dqs,duiqingshan
26,746,DWT,登沙河,dsh,dengshahe
27,754,DBM,大田边,dtb,datianbian
28,763,DXL,大兴沟,dxg,daxinggou
29,781,RYV,岱岳,dyu,daiyue
30,795,DZY,大竹园,dzy,dazhuyuan
31,799,RDP,二道沟门,edm,erdaogoumen
32,800,RDX,二道湾,edw,erdaowan
33,803,ELA,二龙山屯,elt,erlongshantun
34,833,FKP,福山口,fsk,fushankou
35,860,GZB,古城镇,gcz,guchengzhen
36,875,GLJ,古浪,gla,gulang
37,884,GRT,工农湖,gnh,gongnonghu
38,885,GNT,广宁寺南,gnn,guangningsinan
39,886,GNM,广南卫,gnw,guangnanwei
40,925,HWN,红安,han,hongan
41,928,HEB,海北,hbe,haibei
42,1000,HUT,虎石台,hst,hushitai
43,1013,VHB,红兴隆,hxl,hongxinglong
44,1038,JCK,鄄城,jch,juancheng
45,1045,JST,鸡冠山,jgs,jiguanshan
46,1061,JMM,金马村,jmc,jinmacun
47,1078,JIB,建三江,jsj,jiansanjiang
48,1108,JIP,蓟州,jzh,jizhou
49,1181,LHB,莲江口,ljk,lianjiangkou
50,1205,UQJ,龙泉寺,lqs,longquansi
51,1209,LGT,连山关,lsg,lianshanguan
52,1221,LAS,龙山镇,lsz,longshanzhen
53,1291,MUD,木里图,mlt,mulitu
54,1299,MUT,明水河,msh,mingshuihe
55,1325,NLT,南关岭,ngl,nanguanling
56,1328,NHS,南华北,nhb,nanhuabei
57,1350,NOQ,南头,nto,nantou
58,1364,PAJ,磐安镇,paz,pananzhen
59,1378,PHM,平河口,phk,pinghekou
60,1417,QRQ,祁东北,qdb,qidongbei
61,1426,QIP,清河,qhe,qinghe
62,1441,QGH,青龙山,qls,qinglongshan
63,1447,QUJ,清水,qsh,qingshui
64,1491,OCH,舒城,sch,shucheng
65,1498,SCL,山城镇,scz,shanchengzhen
66,1514,SVK,上高镇,sgz,shanggaozhen
67,1528,SEL,双河镇,shz,shuanghezhen
68,1540,SKD,三江口,sjk,sanjiangkou
69,1553,SHJ,疏勒河,slh,shulehe
70,1561,SLQ,石龙,slo,shilong
71,1686,TQL,天桥岭,tql,tianqiaoling
72,1688,TCT,汤山城,tsc,tangshancheng
73,1701,TYJ,太阳山,tys,taiyangshan
74,1702,KTT,通榆,tyu,tongyu
75,1711,QWH,天柱山,tzs,tianzhushan
76,1771,WVR,五五,wwu,wuwu
77,1800,XCB,下城子,xcz,xiachengzi
78,1801,XCT,新城子,xcz,xinchengzi
79,1823,EEP,斜河涧,xhj,xiehejian
80,1824,XAX,新华屯,xht,xinhuatun
81,1826,XHB,新华,xhu,xinhua
82,1847,XDD,兴隆店,xld,xinglongdian
83,1852,XYB,西林,xli,xilin
